age;mac;port;vlan
82;00:16:9c:6e:fa:00;ae1.0;vlan_10
0;2c:36:f8:1a:4c:ab;ae18.0;vlan_10
0;00:22:55:8c:0f:91;ae1.0;vlan_1001
0;40:f4:ec:bd:56:a1;ae18.0;vlan_1001
0;00:16:9d:83:11:0e;ae1.0;vlan_1012
0;00:27:07:18:33:1b;ae18.0;vlan_1012
0;00:10:db:ff:10:04;xe-0/0/3.0;vlan_1015
0;00:16:9d:83:11:0e;ae1.0;vlan_1015
48;00:e0:2b:00:00:01;xe-0/0/3.0;vlan_1015
0;00:16:9d:83:11:0e;ae1.0;vlan_1016
0;6c:20:56:8e:4c:c8;ge-0/0/21.0;vlan_1016
76;e8:f1:b0:b0:3f:bb;ge-0/0/21.0;vlan_1016
0;2c:36:f8:1a:4c:ab;ae18.0;vlan_102
0;00:23:9c:c7:5b:39;ae1.0;vlan_1021
0;00:16:9d:83:11:0e;ae1.0;vlan_1023
0;b0:75:4d:e0:31:64;ae5.0;vlan_1025
0;00:23:9c:c7:5b:39;ae1.0;vlan_103
0;0c:e8:4c:68:34:b0;ae18.0;vlan_103
0;00:04:25:15:0f:db;ae18.0;vlan_1030
0;00:04:25:29:35:43;ae5.0;vlan_1030
0;00:04:25:4a:ae:d4;ae5.0;vlan_1030
0;00:04:25:4d:95:04;ae5.0;vlan_1030
33;00:04:25:93:1c:98;ae18.0;vlan_1030
0;00:16:9d:83:11:0e;ae1.0;vlan_1030
0;00:21:1b:11:27:81;ge-0/0/23.0;vlan_1030
0;1c:a0:d3:40:20:02;ae5.0;vlan_1030
0;1c:a0:d3:40:7f:e3;ae5.0;vlan_1030
0;80:ac:ac:3f:c8:05;ae1.0;vlan_1035
0;a8:f9:4b:ab:4d:af;ae18.0;vlan_1035
0;00:16:9d:83:11:0e;ae1.0;vlan_1037
0;fc:f5:28:48:61:59;ge-0/0/21.0;vlan_1037
0;00:23:9c:c7:5b:39;ae1.0;vlan_1039
0;fc:99:47:f2:7c:00;ae18.0;vlan_1039
0;00:16:9d:83:11:0e;ae1.0;vlan_1041
0;f0:7f:06:89:94:41;ae5.0;vlan_1041
0;00:03:56:14:31:62;ae16.0;vlan_1044
0;00:03:56:15:e7:ec;ae16.0;vlan_1044
0;00:03:56:16:0e:f9;ae16.0;vlan_1044
0;00:03:56:18:39:99;ae16.0;vlan_1044
0;00:12:12:0a:df:3e;ae16.0;vlan_1044
0;00:12:12:87:b9:3f;ae16.0;vlan_1044
0;00:12:12:88:1f:8e;ae16.0;vlan_1044
0;00:12:12:88:32:8a;ae16.0;vlan_1044
0;00:12:12:88:8e:0f;ae16.0;vlan_1044
0;00:12:12:89:34:ec;ae16.0;vlan_1044
0;00:12:12:8c:af:fc;ae16.0;vlan_1044
0;00:12:12:8c:f5:b5;ae16.0;vlan_1044
0;00:12:12:91:0d:de;ae16.0;vlan_1044
0;00:16:9d:83:11:0e;ae1.0;vlan_1044
146;00:90:e8:70:1a:67;ae16.0;vlan_1044
0;00:ad:24:8e:f8:14;ae16.0;vlan_1044
195;00:e0:7c:f0:f7:63;ae16.0;vlan_1044
0;04:d9:f5:38:cc:65;ae16.0;vlan_1044
0;08:60:6e:d4:5e:38;ae16.0;vlan_1044
0;10:7b:44:8e:ce:18;ae16.0;vlan_1044
0;1c:df:0f:e9:52:01;ae16.0;vlan_1044
0;2c:56:dc:94:06:62;ae16.0;vlan_1044
0;30:72:0d:39:61:e4;ae16.0;vlan_1044
0;38:2c:4a:b5:28:49;ae16.0;vlan_1044
0;b8:af:67:a2:10:3f;ae16.0;vlan_1044
0;b8:af:67:a2:81:33;ae16.0;vlan_1044
0;bc:99:11:b0:37:73;ae16.0;vlan_1044
63;d4:c9:ef:ff:07:6f;ae16.0;vlan_1044
0;f0:7d:68:97:fd:11;ae16.0;vlan_1044
0;f2:98:4e:83:d6:71;ae16.0;vlan_1044
0;00:23:9c:c7:5b:39;ae1.0;vlan_1045
0;88:1d:fc:28:35:60;ae5.0;vlan_1045
0;00:23:9c:c7:5b:39;ae1.0;vlan_1049
0;d0:50:99:5d:27:8c;ae11.0;vlan_1049
0;00:0d:b9:53:4c:7c;ae18.0;vlan_105
0;00:23:9c:c7:5b:39;ae1.0;vlan_105
0;00:16:9d:83:11:0e;ae1.0;vlan_1054
0;00:03:56:14:44:64;ae18.0;vlan_1055
0;00:03:56:14:49:08;ae18.0;vlan_1055
0;00:03:56:15:ed:ed;ae18.0;vlan_1055
0;00:03:56:15:ee:ab;ae18.0;vlan_1055
0;00:03:56:15:ee:b0;ae18.0;vlan_1055
0;00:16:9d:83:11:0e;ae1.0;vlan_1055
250;00:1f:ce:67:77:81;ae18.0;vlan_1055
0;00:26:8b:05:5d:2f;ae18.0;vlan_1055
0;04:d4:c4:8d:9f:b9;ae18.0;vlan_1055
0;08:60:6e:73:ac:77;ae18.0;vlan_1055
0;08:60:6e:d4:5d:f6;ae18.0;vlan_1055
0;0e:35:4e:86:fd:ea;ae18.0;vlan_1055
0;60:a4:4c:ca:d6:f7;ae18.0;vlan_1055
144;60:c7:98:c7:b5:ff;ae18.0;vlan_1055
56;60:c7:98:ce:30:a3;ae18.0;vlan_1055
68;ac:16:2d:3d:ae:6c;ae18.0;vlan_1055
0;b8:af:67:a2:10:37;ae18.0;vlan_1055
0;bc:99:11:98:b9:85;ae18.0;vlan_1055
0;fc:aa:14:1a:68:ae;ae18.0;vlan_1055
0;00:23:9c:c7:5b:39;ae1.0;vlan_1056
0;00:1f:ce:a3:a4:40;ae11.0;vlan_1057
0;00:23:9c:c7:5b:39;ae1.0;vlan_1057
0;00:23:9c:c7:5b:39;ae1.0;vlan_1058
0;a8:f9:4b:ab:b0:7f;ae5.0;vlan_1058
0;00:27:e3:32:ba:41;ae14.0;vlan_1061
42;2c:ab:eb:c9:06:a0;ae14.0;vlan_1061
0;c4:b2:39:59:68:c0;ae1.0;vlan_1061
0;00:16:9d:83:11:0e;ae1.0;vlan_1063
0;4c:f9:5d:7c:8b:31;ae18.0;vlan_1063
0;00:23:9c:c7:5b:39;ae1.0;vlan_1066
0;50:3d:e5:0d:4b:03;ae18.0;vlan_1066
0;00:23:9c:c7:5b:39;ae1.0;vlan_1071
0;2c:fd:a1:c6:fd:6a;ae18.0;vlan_1071
0;00:16:17:a8:b7:b7;ge-0/0/20.0;vlan_1072
0;00:16:9d:83:11:0e;ae1.0;vlan_1072
